Gene_ID	term
1	isogroup107498	GO:0044434;GO:0044435
2	isogroup107498	GO:0009523;GO:0009521
3	isogroup107498	GO:0030076
4	isogroup107498	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
5	isogroup74684	GO:0044434;GO:0044435
6	isogroup76727	GO:0044434;GO:0044435
7	isogroup298551	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
8	isogroup311900	GO:0044434;GO:0044435
9	isogroup112870	GO:0044434;GO:0044435
10	isogroup112870	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
11	isogroup310099	GO:0044434;GO:0044435
12	isogroup63635	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
13	isogroup302985	GO:0044434;GO:0044435
14	isogroup296292	GO:0044434;GO:0044435
15	isogroup176813	GO:0044434;GO:0044435
16	isogroup176813	GO:0009523;GO:0009521
17	isogroup176813	GO:0030076
18	isogroup176813	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
19	isogroup303638	GO:0044434;GO:0044435
20	isogroup304856	GO:0044434;GO:0044435
21	isogroup313844	GO:0044434;GO:0044435
22	isogroup310832	GO:0044434;GO:0044435
23	isogroup300274	GO:0044434;GO:0044435
24	isogroup300274	GO:0009523;GO:0009521
25	isogroup300274	GO:0030076
26	isogroup300274	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
27	isogroup65523	GO:0044434;GO:0044435
28	isogroup65523	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
29	isogroup95199	GO:0044434;GO:0044435
30	isogroup307808	GO:0044434;GO:0044435
31	isogroup302025	GO:0044434;GO:0044435
32	isogroup65800	GO:0044434;GO:0044435
33	isogroup311658	GO:0044434;GO:0044435
34	isogroup297575	GO:0044434;GO:0044435
35	isogroup297575	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
36	isogroup297220	GO:0044434;GO:0044435
37	isogroup88491	GO:0044434;GO:0044435
38	isogroup89659	GO:0044434;GO:0044435
39	isogroup89659	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
40	isogroup302816	GO:0044434;GO:0044435
41	isogroup318691	GO:0044434;GO:0044435
42	isogroup304204	GO:0044434;GO:0044435
43	isogroup87521	GO:0044434;GO:0044435
44	isogroup87521	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
45	isogroup60910	GO:0044434;GO:0044435
46	isogroup308410	GO:0044434;GO:0044435
47	isogroup311823	GO:0044434;GO:0044435
48	isogroup163395	GO:0044434;GO:0044435
49	isogroup293923	GO:0044434;GO:0044435
50	isogroup329347	GO:0044434;GO:0044435
51	isogroup329347	GO:0009523;GO:0009521
52	isogroup329347	GO:0030076
53	isogroup329347	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
54	isogroup293001	GO:0044434;GO:0044435
55	isogroup299186	GO:0044434;GO:0044435
56	isogroup56616	GO:0044434;GO:0044435
57	isogroup312067	GO:0044434;GO:0044435
58	isogroup315280	GO:0044434;GO:0044435
59	isogroup296773	GO:0044434;GO:0044435
60	isogroup301807	GO:0044434;GO:0044435
61	isogroup59228	GO:0044434;GO:0044435
62	isogroup295913	GO:0044434;GO:0044435
63	isogroup295913	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
64	isogroup105912	GO:0044434;GO:0044435
65	isogroup101015	GO:0044434;GO:0044435
66	isogroup299300	GO:0044434;GO:0044435
67	isogroup299300	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
68	isogroup300038	GO:0044434;GO:0044435
69	isogroup300038	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
70	isogroup300382	GO:0044434;GO:0044435
71	isogroup292456	GO:0044434;GO:0044435
72	isogroup292456	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
73	isogroup27724	GO:0044434;GO:0044435
74	isogroup27724	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
75	isogroup303422	GO:0044434;GO:0044435
76	isogroup300408	GO:0044434;GO:0044435
77	isogroup300408	GO:0009523;GO:0009521
78	isogroup300408	GO:0030076
79	isogroup300408	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
80	isogroup80744	GO:0044434;GO:0044435
81	isogroup301386	GO:0044434;GO:0044435
82	isogroup88183	GO:0044434;GO:0044435
83	isogroup88183	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
84	isogroup315683	GO:0044434;GO:0044435
85	isogroup81586	GO:0044434;GO:0044435
86	isogroup297677	GO:0044434;GO:0044435
87	isogroup298599	GO:0044434;GO:0044435
88	isogroup216285	GO:0044434;GO:0044435
89	isogroup216285	GO:0009523;GO:0009521
90	isogroup216285	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
91	isogroup304285	GO:0044434;GO:0044435
92	isogroup304285	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
93	isogroup297526	GO:0044434;GO:0044435
94	isogroup296454	GO:0044434;GO:0044435
95	isogroup295798	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
96	isogroup88992	GO:0044434;GO:0044435
97	isogroup99218	GO:0044434;GO:0044435
98	isogroup221104	GO:0044434;GO:0044435
99	isogroup289312	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
100	isogroup81447	GO:0044434;GO:0044435
101	isogroup81447	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
102	isogroup292159	GO:0044434;GO:0044435
103	isogroup298186	GO:0044434;GO:0044435
104	isogroup85493	GO:0044434;GO:0044435
105	isogroup85493	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
106	isogroup298449	GO:0044434;GO:0044435
107	isogroup298449	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
108	isogroup119518	GO:0044434;GO:0044435
109	isogroup65579	GO:0044434;GO:0044435
110	isogroup65579	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
111	isogroup305900	GO:0044434;GO:0044435
112	isogroup289003	GO:0044434;GO:0044435
113	isogroup90404	GO:0044434;GO:0044435
114	isogroup47347	GO:0044434;GO:0044435
115	isogroup67832	GO:0044434;GO:0044435
116	isogroup298661	GO:0044434;GO:0044435
117	isogroup302385	GO:0044434;GO:0044435
118	isogroup302942	GO:0044434;GO:0044435
119	isogroup306781	GO:0044434;GO:0044435
120	isogroup296301	GO:0044434;GO:0044435
121	isogroup296301	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
122	isogroup67551	GO:0044434;GO:0044435
123	isogroup86368	GO:0044434;GO:0044435
124	isogroup81445	GO:0044434;GO:0044435
125	isogroup292668	GO:0044434;GO:0044435
126	isogroup295130	GO:0044434;GO:0044435
127	isogroup94633	GO:0044434;GO:0044435
128	isogroup285515	GO:0044434;GO:0044435
129	isogroup285515	GO:0009523;GO:0009521
130	isogroup285515	GO:0030076
131	isogroup285515	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
132	isogroup109145	GO:0044434;GO:0044435
133	isogroup297069	GO:0044434;GO:0044435
134	isogroup72647	GO:0044434;GO:0044435
135	isogroup175787	GO:0044434;GO:0044435
136	isogroup287472	GO:0044434;GO:0044435
137	isogroup287472	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
138	isogroup306421	GO:0044434;GO:0044435
139	isogroup306421	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
140	isogroup294581	GO:0044434;GO:0044435
141	isogroup293486	GO:0044434;GO:0044435
142	isogroup293486	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
143	isogroup295043	GO:0044434;GO:0044435
144	isogroup204816	GO:0044434;GO:0044435
145	isogroup296727	GO:0044434;GO:0044435
146	isogroup296727	GO:0009523;GO:0009521
147	isogroup296727	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
148	isogroup286649	GO:0044434;GO:0044435
149	isogroup293168	GO:0044434;GO:0044435
150	isogroup298099	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
151	isogroup285949	GO:0044434;GO:0044435
152	isogroup78077	GO:0044434;GO:0044435
153	isogroup78077	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
154	isogroup291475	GO:0044434;GO:0044435
155	isogroup289769	GO:0044434;GO:0044435
156	isogroup67898	GO:0044434;GO:0044435
157	isogroup288327	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
158	isogroup101919	GO:0044434;GO:0044435
159	isogroup100613	GO:0044434;GO:0044435
160	isogroup293544	GO:0044434;GO:0044435
161	isogroup87741	GO:0044434;GO:0044435
162	isogroup87741	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
163	isogroup300187	GO:0044434;GO:0044435
164	isogroup288843	GO:0044434;GO:0044435
165	isogroup288843	GO:0009523;GO:0009521
166	isogroup288843	GO:0030076
167	isogroup288843	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
168	isogroup86127	GO:0044434;GO:0044435
169	isogroup86127	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
170	isogroup293560	GO:0044434;GO:0044435
171	isogroup293560	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
172	isogroup93474	GO:0044434;GO:0044435
173	isogroup283991	GO:0044434;GO:0044435
174	isogroup242055	GO:0044434;GO:0044435
175	isogroup242055	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
176	isogroup286216	GO:0044434;GO:0044435
177	isogroup286216	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
178	isogroup283975	GO:0044434;GO:0044435
179	isogroup287624	GO:0044434;GO:0044435
180	isogroup282780	GO:0044434;GO:0044435
181	isogroup64691	GO:0044434;GO:0044435
182	isogroup291109	GO:0044434;GO:0044435
183	isogroup284006	GO:0044434;GO:0044435
184	isogroup289133	GO:0044434;GO:0044435
