Gene_ID	term
isogroup107498	GO:0044434;GO:0044435
isogroup107498	GO:0009523;GO:0009521
isogroup107498	GO:0030076
isogroup107498	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup74684	GO:0044434;GO:0044435
isogroup76727	GO:0044434;GO:0044435
isogroup298551	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup311900	GO:0044434;GO:0044435
isogroup112870	GO:0044434;GO:0044435
isogroup112870	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup310099	GO:0044434;GO:0044435
isogroup63635	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup302985	GO:0044434;GO:0044435
isogroup296292	GO:0044434;GO:0044435
isogroup176813	GO:0044434;GO:0044435
isogroup176813	GO:0009523;GO:0009521
isogroup176813	GO:0030076
isogroup176813	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup303638	GO:0044434;GO:0044435
isogroup304856	GO:0044434;GO:0044435
isogroup313844	GO:0044434;GO:0044435
isogroup310832	GO:0044434;GO:0044435
isogroup300274	GO:0044434;GO:0044435
isogroup300274	GO:0009523;GO:0009521
isogroup300274	GO:0030076
isogroup300274	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup65523	GO:0044434;GO:0044435
isogroup65523	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup95199	GO:0044434;GO:0044435
isogroup307808	GO:0044434;GO:0044435
isogroup302025	GO:0044434;GO:0044435
isogroup65800	GO:0044434;GO:0044435
isogroup311658	GO:0044434;GO:0044435
isogroup297575	GO:0044434;GO:0044435
isogroup297575	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup297220	GO:0044434;GO:0044435
isogroup88491	GO:0044434;GO:0044435
isogroup89659	GO:0044434;GO:0044435
isogroup89659	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup302816	GO:0044434;GO:0044435
isogroup318691	GO:0044434;GO:0044435
isogroup304204	GO:0044434;GO:0044435
isogroup87521	GO:0044434;GO:0044435
isogroup87521	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup60910	GO:0044434;GO:0044435
isogroup308410	GO:0044434;GO:0044435
isogroup311823	GO:0044434;GO:0044435
isogroup163395	GO:0044434;GO:0044435
isogroup293923	GO:0044434;GO:0044435
isogroup329347	GO:0044434;GO:0044435
isogroup329347	GO:0009523;GO:0009521
isogroup329347	GO:0030076
isogroup329347	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup293001	GO:0044434;GO:0044435
isogroup299186	GO:0044434;GO:0044435
isogroup56616	GO:0044434;GO:0044435
isogroup312067	GO:0044434;GO:0044435
isogroup315280	GO:0044434;GO:0044435
isogroup296773	GO:0044434;GO:0044435
isogroup301807	GO:0044434;GO:0044435
isogroup59228	GO:0044434;GO:0044435
isogroup295913	GO:0044434;GO:0044435
isogroup295913	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup105912	GO:0044434;GO:0044435
isogroup101015	GO:0044434;GO:0044435
isogroup299300	GO:0044434;GO:0044435
isogroup299300	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup300038	GO:0044434;GO:0044435
isogroup300038	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup300382	GO:0044434;GO:0044435
isogroup292456	GO:0044434;GO:0044435
isogroup292456	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup27724	GO:0044434;GO:0044435
isogroup27724	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup303422	GO:0044434;GO:0044435
isogroup300408	GO:0044434;GO:0044435
isogroup300408	GO:0009523;GO:0009521
isogroup300408	GO:0030076
isogroup300408	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup80744	GO:0044434;GO:0044435
isogroup301386	GO:0044434;GO:0044435
isogroup88183	GO:0044434;GO:0044435
isogroup88183	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup315683	GO:0044434;GO:0044435
isogroup81586	GO:0044434;GO:0044435
isogroup297677	GO:0044434;GO:0044435
isogroup298599	GO:0044434;GO:0044435
isogroup216285	GO:0044434;GO:0044435
isogroup216285	GO:0009523;GO:0009521
isogroup216285	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup304285	GO:0044434;GO:0044435
isogroup304285	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup297526	GO:0044434;GO:0044435
isogroup296454	GO:0044434;GO:0044435
isogroup295798	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup88992	GO:0044434;GO:0044435
isogroup99218	GO:0044434;GO:0044435
isogroup221104	GO:0044434;GO:0044435
isogroup289312	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup81447	GO:0044434;GO:0044435
isogroup81447	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup292159	GO:0044434;GO:0044435
isogroup298186	GO:0044434;GO:0044435
isogroup85493	GO:0044434;GO:0044435
isogroup85493	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup298449	GO:0044434;GO:0044435
isogroup298449	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup119518	GO:0044434;GO:0044435
isogroup65579	GO:0044434;GO:0044435
isogroup65579	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup305900	GO:0044434;GO:0044435
isogroup289003	GO:0044434;GO:0044435
isogroup90404	GO:0044434;GO:0044435
isogroup47347	GO:0044434;GO:0044435
isogroup67832	GO:0044434;GO:0044435
isogroup298661	GO:0044434;GO:0044435
isogroup302385	GO:0044434;GO:0044435
isogroup302942	GO:0044434;GO:0044435
isogroup306781	GO:0044434;GO:0044435
isogroup296301	GO:0044434;GO:0044435
isogroup296301	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup67551	GO:0044434;GO:0044435
isogroup86368	GO:0044434;GO:0044435
isogroup81445	GO:0044434;GO:0044435
isogroup292668	GO:0044434;GO:0044435
isogroup295130	GO:0044434;GO:0044435
isogroup94633	GO:0044434;GO:0044435
isogroup285515	GO:0044434;GO:0044435
isogroup285515	GO:0009523;GO:0009521
isogroup285515	GO:0030076
isogroup285515	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup109145	GO:0044434;GO:0044435
isogroup297069	GO:0044434;GO:0044435
isogroup72647	GO:0044434;GO:0044435
isogroup175787	GO:0044434;GO:0044435
